RunIndex,Priority,LatencyMs,EvalCount,EvalDurationNs,TPS,AvgCpuPercent,MaxRamMB
1,Normal,41458,420,40183157000,10.4521,51.67,1188
2,Normal,41170,420,40540020000,10.3601,69.25,1190
3,Normal,41371,420,40202141000,10.4472,69.67,1190
4,Normal,41564,420,40102460000,10.4732,69.33,1183
5,Normal,41311,420,40014983000,10.4961,72.75,1190
1,BelowNormal,41406,420,39952996000,10.5124,76.50,1190
2,BelowNormal,40901,420,39723395000,10.5731,68.33,1190
3,BelowNormal,41636,420,40169377000,10.4557,70.00,1191
4,BelowNormal,41218,420,40101614000,10.4734,76.67,1190
5,BelowNormal,41684,420,40085118000,10.4777,76.50,1083
